PROTOCOLS,TIMESPAN,VOLUME
uniswap,2019-10-07,1724522
uniswap,2019-10-14,5420825
uniswap,2019-10-21,8949968
uniswap,2019-10-28,5849781
uniswap,2019-11-04,6853682
uniswap,2019-11-11,6840494
uniswap,2019-11-18,21865873
uniswap,2019-11-25,17646071
uniswap,2019-12-02,17388111
uniswap,2019-12-09,9199470
uniswap,2019-12-16,15507873
uniswap,2019-12-23,14470504
uniswap,2019-12-30,7604961
uniswap,2020-01-06,15286000
uniswap,2020-01-13,19320574
uniswap,2020-01-20,13053286
uniswap,2020-01-27,13987221
uniswap,2020-02-03,25887690
uniswap,2020-02-10,47064169
uniswap,2020-02-17,36699257
uniswap,2020-02-24,36011226
uniswap,2020-03-02,29449764
uniswap,2020-03-09,114047498
uniswap,2020-03-16,48378281
uniswap,2020-03-23,19461148
uniswap,2020-03-30,12637048
uniswap,2020-04-06,21756758
uniswap,2020-04-13,41204081
uniswap,2020-04-20,56562356
uniswap,2020-04-27,64510162
uniswap,2020-05-04,77491033
uniswap,2020-05-11,65511742
uniswap,2020-05-18,63270287
uniswap,2020-05-25,47716123
uniswap,2020-06-01,52892508
uniswap,2020-06-08,72077608
uniswap,2020-06-15,285611330
uniswap,2020-06-22,160621265
uniswap,2020-06-29,134148116
uniswap,2020-07-06,155382465
uniswap,2020-07-13,281183513
uniswap,2020-07-20,559574144
uniswap,2020-07-27,817023253
uniswap,2020-08-03,790340067
dodo,2020-08-03,0
dodo,2020-08-10,140704
uniswap,2020-08-10,1598633787
dodo,2020-08-17,224765
uniswap,2020-08-17,1531131989
sunswap,2020-08-17,57045312
uniswap,2020-08-24,1937363012
dodo,2020-08-24,3190386
sunswap,2020-08-24,53111090
uniswap,2020-08-31,5708151181
dodo,2020-08-31,50944193
sunswap,2020-08-31,2012952460
sushiswap,2020-09-07,892228336
sunswap,2020-09-07,1106555404
dodo,2020-09-07,42157312
uniswap,2020-09-07,2923887698
sunswap,2020-09-14,529171538
sushiswap,2020-09-14,848888369
pancakeswap,2020-09-14,145
dodo,2020-09-14,57323567
uniswap,2020-09-14,3558775747
sushiswap,2020-09-21,350617655
sunswap,2020-09-21,359131162
dodo,2020-09-21,107252602
pancakeswap,2020-09-21,26287405
uniswap,2020-09-21,2441304521
pancakeswap,2020-09-28,80534199
sushiswap,2020-09-28,348045827
dodo,2020-09-28,51210435
uniswap,2020-09-28,2594013513
sunswap,2020-09-28,280553338
dodo,2020-10-05,93523277
uniswap,2020-10-05,2320502586
sushiswap,2020-10-05,270602435
pancakeswap,2020-10-05,59224632
sunswap,2020-10-05,155011282
dodo,2020-10-12,70551835
uniswap,2020-10-12,1811594828
sunswap,2020-10-12,152416092
sushiswap,2020-10-12,134475529
pancakeswap,2020-10-12,113052739
sushiswap,2020-10-19,127486205
sunswap,2020-10-19,158688616
uniswap,2020-10-19,1578317767
dodo,2020-10-19,46108412
pancakeswap,2020-10-19,90834115
sunswap,2020-10-26,285039626
dodo,2020-10-26,34032835
pancakeswap,2020-10-26,90626426
sushiswap,2020-10-26,157166562
uniswap,2020-10-26,4015300159
pancakeswap,2020-11-02,85229847
dodo,2020-11-02,56311258
sushiswap,2020-11-02,250766457
sunswap,2020-11-02,157908820
uniswap,2020-11-02,2067412606
sushiswap,2020-11-09,268932072
dodo,2020-11-09,35106418
sunswap,2020-11-09,55602638
pancakeswap,2020-11-09,55794911
uniswap,2020-11-09,1975663181
sushiswap,2020-11-16,726577144
pancakeswap,2020-11-16,89396157
dodo,2020-11-16,63311640
sunswap,2020-11-16,175717482
uniswap,2020-11-16,2537859539
pancakeswap,2020-11-23,104927181
dodo,2020-11-23,92988424
sushiswap,2020-11-23,651692100
sunswap,2020-11-23,324289712
uniswap,2020-11-23,2615751512
dodo,2020-11-30,40863894
sushiswap,2020-11-30,606355225
sunswap,2020-11-30,175529326
pancakeswap,2020-11-30,69543544
uniswap,2020-11-30,2403393614
sushiswap,2020-12-07,448663131
dodo,2020-12-07,13917998
pancakeswap,2020-12-07,65508621
uniswap,2020-12-07,2364300770
sunswap,2020-12-07,86736038
sushiswap,2020-12-14,555803620
dodo,2020-12-14,17830447
sunswap,2020-12-14,92120382
pancakeswap,2020-12-14,83896554
uniswap,2020-12-14,3052490049
sunswap,2020-12-21,138880374
dodo,2020-12-21,34657024
pancakeswap,2020-12-21,131567895
sushiswap,2020-12-21,919008980
uniswap,2020-12-21,3038927442
uniswap,2020-12-28,4208294244
sunswap,2020-12-28,120940606
sushiswap,2020-12-28,1402946309
pancakeswap,2020-12-28,190963092
dodo,2020-12-28,34716226
sunswap,2021-01-04,285759708
uniswap,2021-01-04,6125916685
dodo,2021-01-04,78776072
sushiswap,2021-01-04,3318991127
pancakeswap,2021-01-04,294656205
uniswap,2021-01-11,5710581177
sushiswap,2021-01-11,2642977108
dodo,2021-01-11,34085894
pancakeswap,2021-01-11,295429203
sunswap,2021-01-11,250225382
sushiswap,2021-01-18,2584579532
dodo,2021-01-18,45554119
uniswap,2021-01-18,6222481498
sunswap,2021-01-18,150438748
pancakeswap,2021-01-18,294406777
dodo,2021-01-25,75337004
sushiswap,2021-01-25,3061280160
sunswap,2021-01-25,264374738
pancakeswap,2021-01-25,520001113
uniswap,2021-01-25,6330677773
dodo,2021-02-01,109821656
sunswap,2021-02-01,227163836
pancakeswap,2021-02-01,1138323495
uniswap,2021-02-01,7597688942
sushiswap,2021-02-01,3537403145
dodo,2021-02-08,95869807
sushiswap,2021-02-08,3150169207
pancakeswap,2021-02-08,2866525314
uniswap,2021-02-08,7744810216
sunswap,2021-02-08,548904378
uniswap,2021-02-15,8298264037
pancakeswap,2021-02-15,7626913268
sushiswap,2021-02-15,3225592989
dodo,2021-02-15,232612121
sunswap,2021-02-15,545187682
uniswap,2021-02-22,8626620623
sunswap,2021-02-22,916119902
dodo,2021-02-22,446098706
pancakeswap,2021-02-22,7011819567
sushiswap,2021-02-22,4475881886
sunswap,2021-03-01,542589880
sushiswap,2021-03-01,2575591971
pancakeswap,2021-03-01,5077231909
uniswap,2021-03-01,6774788378
dodo,2021-03-01,336599376
sunswap,2021-03-08,582350324
sushiswap,2021-03-08,2316228658
uniswap,2021-03-08,7912266472
dodo,2021-03-08,272261763
pancakeswap,2021-03-08,5486470856
sushiswap,2021-03-15,1754919078
sunswap,2021-03-15,1395711980
pancakeswap,2021-03-15,4528817327
uniswap,2021-03-15,7190167954
dodo,2021-03-15,371538553
pancakeswap,2021-03-22,6096236537
sushiswap,2021-03-22,2144967390
dodo,2021-03-22,552010758
sunswap,2021-03-22,1583712698
uniswap,2021-03-22,8657448492
uniswap,2021-03-29,12328794123
sushiswap,2021-03-29,2074898293
pancakeswap,2021-03-29,6552198961
sunswap,2021-03-29,2643080346
dodo,2021-03-29,617952132
uniswap,2021-04-05,8412631198
sunswap,2021-04-05,7173526182
sushiswap,2021-04-05,1941863112
dodo,2021-04-05,717199203
pancakeswap,2021-04-05,10600324696
sunswap,2021-04-12,5400509086
dodo,2021-04-12,1204884599
pancakeswap,2021-04-12,11676044171
spookyswap,2021-04-12,494787
uniswap,2021-04-12,9529807625
sushiswap,2021-04-12,3039971155
sunswap,2021-04-19,4962849464
spookyswap,2021-04-19,16996544
sushiswap,2021-04-19,3672527963
pancakeswap,2021-04-19,18635596822
dodo,2021-04-19,825358932
uniswap,2021-04-19,10581095025
uniswap,2021-04-26,9269395498
spookyswap,2021-04-26,91439197
dodo,2021-04-26,661994559
sunswap,2021-04-26,2093705842
sushiswap,2021-04-26,2590228703
pancakeswap,2021-04-26,11965694274
spookyswap,2021-05-03,140181903
uniswap,2021-05-03,14368054309
pancakeswap,2021-05-03,14672435934
dodo,2021-05-03,635986597
sunswap,2021-05-03,3311708870
sushiswap,2021-05-03,4027774247
pancakeswap,2021-05-10,17789623266
spookyswap,2021-05-10,198821377
sushiswap,2021-05-10,6370796535
sunswap,2021-05-10,2922292772
dodo,2021-05-10,582621382
uniswap,2021-05-10,22950211247
spookyswap,2021-05-17,254439049
pancakeswap,2021-05-17,23830791415
dodo,2021-05-17,1254323529
sushiswap,2021-05-17,11777232125
sunswap,2021-05-17,3973953428
uniswap,2021-05-17,25290945352
spookyswap,2021-05-24,102135979
sunswap,2021-05-24,2467313882
uniswap,2021-05-24,16883783331
sushiswap,2021-05-24,5333127735
pancakeswap,2021-05-24,12375236693
dodo,2021-05-24,800946319
sunswap,2021-05-31,1093687270
spookyswap,2021-05-31,62519369
dodo,2021-05-31,846751574
uniswap,2021-05-31,10561642133
sushiswap,2021-05-31,3386598938
pancakeswap,2021-05-31,6028707298
sushiswap,2021-06-07,4023693409
spookyswap,2021-06-07,59344748
dodo,2021-06-07,1000674007
sunswap,2021-06-07,905577350
