TIMESPAN,MARKET_STATE,NEW_USERS
2020-05-04,Before Bear,2
2020-05-11,Before Bear,22
2020-05-18,Before Bear,5562
2020-05-25,Before Bear,4167
2020-06-01,Before Bear,4287
2020-06-08,Before Bear,4329
2020-06-15,Before Bear,6553
2020-06-22,Before Bear,8026
2020-06-29,Before Bear,7881
2020-07-06,Before Bear,9135
2020-07-13,Before Bear,12244
2020-07-20,Before Bear,16942
2020-07-27,Before Bear,18086
2020-08-03,Before Bear,20479
2020-08-10,Before Bear,28698
2020-08-17,Before Bear,24816
2020-08-24,Before Bear,25144
2020-08-31,Before Bear,31407
2020-09-07,Before Bear,19279
2020-09-14,Before Bear,37462
2020-09-21,Before Bear,36047
2020-09-28,Before Bear,34534
2020-10-05,Before Bear,32084
2020-10-12,Before Bear,30976
2020-10-19,Before Bear,30136
2020-10-26,Before Bear,33440
2020-11-02,Before Bear,24083
2020-11-09,Before Bear,24234
2020-11-16,Before Bear,25062
2020-11-23,Before Bear,22027
2020-11-30,Before Bear,25583
2020-12-07,Before Bear,28298
2020-12-14,Before Bear,26857
2020-12-21,Before Bear,32628
2020-12-28,Before Bear,36457
2021-01-04,Before Bear,30107
2021-01-11,Before Bear,29954
2021-01-18,Before Bear,35105
2021-01-25,Before Bear,39491
2021-02-01,Before Bear,45847
2021-02-08,Before Bear,51838
2021-02-15,Before Bear,47343
2021-02-22,Before Bear,40690
2021-03-01,Before Bear,46054
2021-03-08,Before Bear,61178
2021-03-15,Before Bear,66783
2021-03-22,Before Bear,62869
2021-03-29,Before Bear,61865
2021-04-05,Before Bear,58318
2021-04-12,Before Bear,80977
2021-04-19,Before Bear,107565
2021-04-26,Before Bear,100277
2021-05-03,Before Bear,168538
2021-05-10,Before Bear,206667
2021-05-17,Before Bear,103176
2021-05-24,Before Bear,102712
2021-05-31,Before Bear,91151
2021-06-07,Before Bear,70633
2021-06-14,Before Bear,75636
2021-06-21,Before Bear,58962
2021-06-28,Before Bear,69475
2021-07-05,Before Bear,60895
2021-07-12,Before Bear,55380
2021-07-19,Before Bear,50425
2021-07-26,Before Bear,53673
2021-08-02,Before Bear,43021
2021-08-09,Before Bear,39264
2021-08-16,Before Bear,47786
2021-08-23,Before Bear,39367
2021-08-30,Before Bear,34809
2021-09-06,Before Bear,51281
2021-09-13,Before Bear,65891
2021-09-20,Before Bear,49794
2021-09-27,Before Bear,44764
2021-10-04,Before Bear,50409
2021-10-11,Before Bear,62339
2021-10-18,Before Bear,90419
2021-10-25,Before Bear,128375
2021-11-01,Before Bear,105117
2021-11-08,Before Bear,109006
2021-11-15,Before Bear,80196
2021-11-22,Before Bear,74336
2021-11-29,Before Bear,56849
2021-12-06,Before Bear,55995
2021-12-13,Before Bear,54062
2021-12-20,Before Bear,105958
2021-12-27,Current Bear,24261
2021-12-27,Before Bear,81781
2022-01-03,Current Bear,63379
2022-01-10,Current Bear,62827
2022-01-17,Current Bear,54375
2022-01-24,Current Bear,53791
2022-01-31,Current Bear,58245
2022-02-07,Current Bear,68669
2022-02-14,Current Bear,59537
2022-02-21,Current Bear,50578
2022-02-28,Current Bear,51069
2022-03-07,Current Bear,48787
2022-03-14,Current Bear,58136
2022-03-21,Current Bear,59653
2022-03-28,Current Bear,64934
2022-04-04,Current Bear,56377
2022-04-11,Current Bear,63240
2022-04-18,Current Bear,64846
2022-04-25,Current Bear,74117
2022-05-02,Current Bear,57194
2022-05-09,Current Bear,51551
2022-05-16,Current Bear,48731
2022-05-23,Current Bear,43120
2022-05-30,Current Bear,46330
2022-06-06,Current Bear,41321
2022-06-13,Current Bear,39368
2022-06-20,Current Bear,52479
2022-06-27,Current Bear,59510
2022-07-04,Current Bear,37297
2022-07-11,Current Bear,41228
2022-07-18,Current Bear,45628
2022-07-25,Current Bear,44367
2022-08-01,Current Bear,46303
2022-08-08,Current Bear,49505
2022-08-15,Current Bear,52270
2022-08-22,Current Bear,46646
2022-08-29,Current Bear,50461
2022-09-05,Current Bear,47616
2022-09-12,Current Bear,47138
2022-09-19,Current Bear,57691
2022-09-26,Current Bear,55770
2022-10-03,Current Bear,51531
2022-10-10,Current Bear,51552
2022-10-17,Current Bear,66181
2022-10-24,Current Bear,78891
2022-10-31,Current Bear,72204
2022-11-07,Current Bear,72579
2022-11-14,Current Bear,75181
2022-11-21,Current Bear,69118
2022-11-28,Current Bear,68706
2022-12-05,Current Bear,67940
2022-12-12,Current Bear,79098
2022-12-19,Current Bear,70868
2022-12-26,Current Bear,66921
2023-01-02,Current Bear,83632
2023-01-09,Current Bear,85243
2023-01-16,Current Bear,56652
2023-01-23,Current Bear,48811
2023-01-30,Current Bear,60071
2023-02-06,Current Bear,58816
2023-02-13,Current Bear,62573
2023-02-20,Current Bear,62206
2023-02-27,Current Bear,73838
2023-03-06,Current Bear,65346
2023-03-13,Current Bear,91418
2023-03-20,Current Bear,115938
2023-03-27,Current Bear,130396
2023-04-03,Current Bear,145913
2023-04-10,Current Bear,171441
2023-04-17,Current Bear,187096
2023-04-24,Current Bear,178964
2023-05-01,Current Bear,194612
2023-05-08,Current Bear,186270
2023-05-15,Current Bear,179646
2023-05-22,Current Bear,205806
