TIMESPAN,BLOCKCHAIN,NEW_USERS
2020-05-01,Ethereum,9753
2020-06-01,Ethereum,24962
2020-07-01,Ethereum,57976
2020-08-01,Ethereum,109826
2020-09-01,Ethereum,133103
2020-10-01,Ethereum,140840
2020-11-01,Ethereum,103707
2020-12-01,Ethereum,132919
2021-01-01,Ethereum,148538
2021-02-01,Ethereum,185718
2021-03-01,Ethereum,263400
2021-04-01,Ethereum,351528
2021-05-01,Ethereum,625267
2021-06-01,Arbitrum,2
2021-06-01,Ethereum,311644
2021-07-01,Ethereum,253695
2021-08-01,Ethereum,186513
2021-08-01,Arbitrum,18
2021-09-01,Ethereum,171755
2021-09-01,Arbitrum,63927
2021-10-01,Ethereum,329849
2021-10-01,Arbitrum,30012
2021-11-01,Arbitrum,17334
2021-11-01,Optimism,21957
2021-11-01,Ethereum,370932
2021-12-01,Arbitrum,13129
2021-12-01,Ethereum,250688
2021-12-01,Optimism,25627
2021-12-01,Polygon,97587
2022-01-01,Ethereum,175572
2022-01-01,Optimism,8622
2022-01-01,Arbitrum,8308
2022-01-01,Polygon,115930
2022-02-01,Polygon,104555
2022-02-01,Arbitrum,6343
2022-02-01,Ethereum,150787
2022-02-01,Optimism,5801
2022-03-01,Arbitrum,11447
2022-03-01,Ethereum,177074
2022-03-01,Polygon,87284
2022-03-01,Optimism,9728
2022-04-01,Arbitrum,23863
2022-04-01,Ethereum,148019
2022-04-01,Polygon,128607
2022-04-01,Optimism,22356
2022-05-01,Polygon,96659
2022-05-01,Arbitrum,38442
2022-05-01,Optimism,25198
2022-05-01,Ethereum,119737
2022-06-01,Optimism,54090
2022-06-01,Ethereum,90387
2022-06-01,Arbitrum,40362
2022-06-01,Polygon,109969
2022-07-01,Ethereum,113403
2022-07-01,Arbitrum,19246
2022-07-01,Polygon,73068
2022-07-01,Optimism,15826
2022-08-01,Arbitrum,35204
2022-08-01,Ethereum,125451
2022-08-01,Polygon,85641
2022-08-01,Optimism,23469
2022-09-01,Ethereum,122764
2022-09-01,Optimism,31256
2022-09-01,Arbitrum,57471
2022-09-01,Polygon,70469
2022-10-01,Polygon,74402
2022-10-01,Ethereum,156916
2022-10-01,Arbitrum,87149
2022-10-01,Optimism,43207
2022-11-01,Optimism,87015
2022-11-01,Arbitrum,104289
2022-11-01,Polygon,100965
2022-11-01,Ethereum,145283
2022-12-01,Arbitrum,75669
2022-12-01,Ethereum,127632
2022-12-01,Optimism,147873
2022-12-01,Polygon,74408
2023-01-01,Arbitrum,59754
2023-01-01,Polygon,68687
2023-01-01,Ethereum,143103
2023-01-01,Optimism,121674
2023-02-01,Ethereum,154144
2023-02-01,Polygon,64444
2023-02-01,Arbitrum,86778
2023-02-01,Optimism,22708
2023-03-01,Ethereum,173522
2023-03-01,Optimism,57291
2023-03-01,BSC,89144
2023-03-01,Arbitrum,164263
2023-03-01,Polygon,108588
2023-04-01,Ethereum,201325
2023-04-01,Optimism,103549
2023-04-01,Arbitrum,380036
2023-04-01,Polygon,144534
2023-04-01,BSC,139149
2023-05-01,BSC,172110
2023-05-01,Arbitrum,373551
2023-05-01,Ethereum,347409
2023-05-01,Polygon,151236
2023-05-01,Optimism,95208
2023-06-01,Ethereum,206768
2023-06-01,BSC,201525
2023-06-01,Avalanche,12
2023-06-01,Arbitrum,305298
2023-06-01,Optimism,168725
2023-06-01,Polygon,223792
2023-07-01,Optimism,209792
2023-07-01,Ethereum,238157
2023-07-01,Polygon,220745
2023-07-01,Arbitrum,225305
2023-07-01,BSC,152370
2023-07-01,Base,1
2023-07-01,Avalanche,25858
2023-08-01,BSC,125110
2023-08-01,Base,93783
2023-08-01,Polygon,136505
2023-08-01,Avalanche,34975
2023-08-01,Optimism,114608
2023-08-01,Ethereum,229444
2023-08-01,Arbitrum,131293
2023-09-01,Arbitrum,63441
2023-09-01,Avalanche,12829
2023-09-01,BSC,62045
2023-09-01,Base,50656
2023-09-01,Ethereum,163103
2023-09-01,Polygon,64395
2023-09-01,Optimism,60031
﻿
