TIMESPAN,BLOCKCHAIN,MARKET_STATE,ACTIVE_USERS
2020-05-18,Ethereum,Before Bear,242
2020-05-25,Ethereum,Before Bear,446
2020-06-01,Ethereum,Before Bear,848
2020-06-08,Ethereum,Before Bear,971
2020-06-15,Ethereum,Before Bear,1468
2020-06-22,Ethereum,Before Bear,2226
2020-06-29,Ethereum,Before Bear,2400
2020-07-06,Ethereum,Before Bear,2564
2020-07-13,Ethereum,Before Bear,3018
2020-07-20,Ethereum,Before Bear,5040
2020-07-27,Ethereum,Before Bear,5932
2020-08-03,Ethereum,Before Bear,7530
2020-08-10,Ethereum,Before Bear,10644
2020-08-17,Ethereum,Before Bear,11097
2020-08-24,Ethereum,Before Bear,11933
2020-08-31,Ethereum,Before Bear,14091
2020-09-07,Ethereum,Before Bear,11187
2020-09-14,Ethereum,Before Bear,12651
2020-09-21,Ethereum,Before Bear,12865
2020-09-28,Ethereum,Before Bear,13563
2020-10-05,Ethereum,Before Bear,13607
2020-10-12,Ethereum,Before Bear,11189
2020-10-19,Ethereum,Before Bear,10700
2020-10-26,Ethereum,Before Bear,12133
2020-11-02,Ethereum,Before Bear,10199
2020-11-09,Ethereum,Before Bear,9925
2020-11-16,Ethereum,Before Bear,11316
2020-11-23,Ethereum,Before Bear,9356
2020-11-30,Ethereum,Before Bear,11170
2020-12-07,Ethereum,Before Bear,13536
2020-12-14,Ethereum,Before Bear,11879
2020-12-21,Ethereum,Before Bear,10957
2020-12-28,Ethereum,Before Bear,10403
2021-01-04,Ethereum,Before Bear,7732
2021-01-11,Ethereum,Before Bear,8462
2021-01-18,Ethereum,Before Bear,10984
2021-01-25,Ethereum,Before Bear,11328
2021-02-01,Ethereum,Before Bear,13006
2021-02-08,Ethereum,Before Bear,13306
2021-02-15,Ethereum,Before Bear,11405
2021-02-22,Ethereum,Before Bear,8049
2021-03-01,Ethereum,Before Bear,9787
2021-03-08,Ethereum,Before Bear,12293
2021-03-15,Ethereum,Before Bear,12727
2021-03-22,Ethereum,Before Bear,12525
2021-03-29,Ethereum,Before Bear,11828
2021-04-05,Ethereum,Before Bear,10137
2021-04-12,Ethereum,Before Bear,9577
2021-04-19,Ethereum,Before Bear,11433
