TIMESPAN,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,CUMUL_NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
2021-05-03 00:00:00.000,1136043767.49167,-566103605.459733,569940162.031941,569940162.031941,583335346.653568,-287206536.295952,296128810.357616,582368740.011282,-293802588.841363,288566151.169919
2021-05-10 00:00:00.000,1401820851.8609,-987791851.517669,414029000.343231,983969162.375172,671347077.817209,-635969879.312484,35377198.5047246,770912053.614525,-357171485.145591,413740568.468935
2021-05-17 00:00:00.000,2091538291.84814,-1860230615.88911,231307675.95903,1215276838.3342,1175142509.65271,-1007594251.21493,167548258.437787,923454959.820366,-855668744.895098,67786214.9252678
2021-05-24 00:00:00.000,2977900126.14596,-2337787371.29162,640112754.854342,1855389593.18854,1339709168.36669,-1104707850.75678,235001317.609909,1642934987.14557,-1238079490.30794,404855496.837625
2021-05-31 00:00:00.000,6694566996.10144,-1815879703.03236,4878687293.06909,6734076886.25763,5911209866.74713,-1086315764.76863,4824894101.9785,792609106.556806,-732408602.686635,60200503.8701711
2021-06-07 00:00:00.000,1864086249.70104,-1871714391.23596,-7628141.53491902,6726448744.72271,999545717.092237,-982880910.508256,16664806.5839806,874139987.350531,-899800391.962303,-25660404.6117711
2021-06-14 00:00:00.000,1211029951.63278,-1163167354.93969,47862596.6930976,6774311341.41581,595009412.510501,-544552271.145972,50457141.3645293,622407944.421077,-620837767.600594,1570176.8204838
2021-06-21 00:00:00.000,2467685930.35245,-2523276958.67342,-55591028.3209743,6718720313.09484,1089625309.5342,-1014439191.50072,75186118.0334793,1384034546.20627,-1514135764.57503,-130101218.368758
2021-06-28 00:00:00.000,10136952331.0676,-10087506655.8337,49445675.2339191,6768165988.32876,4000847480.68433,-4031775986.48724,-30928505.8029041,6145048715.91967,-6065132778.76477,79915937.1549072
2021-07-05 00:00:00.000,6635469449.06476,-6627454912.23424,8014536.83051872,6776180525.15928,2828242696.08405,-2797265168.99987,30977527.0841799,3814169225.86025,-3833838121.15377,-19668895.2935209
2021-07-12 00:00:00.000,6063187538.25713,-6026613642.80485,36573895.45228,6812754420.61156,2275243729.89479,-2255400962.42371,19842767.4710817,3797454070.82701,-3775428478.19608,22025592.6309304
2021-07-19 00:00:00.000,7812671094.24597,-7815854363.66601,-3183269.42004299,6809571151.19151,3309012890.08571,-3309597688.18759,-584798.10188055,4517094774.14624,-4513226360.16557,3868413.9806776
2021-07-26 00:00:00.000,8689163904.43275,-8689291725.82122,-127821.388471603,6809443329.80304,3058470573.9986,-3095386982.17905,-36916408.1804523,5643553299.40215,-5599782403.0212,43770896.38095
2021-08-02 00:00:00.000,5690089895.57212,-5488626555.89978,201463339.67234,7010906669.47538,2209652457.07896,-2184248857.15664,25403599.9223204,3489162796.74657,-3310655564.69218,178507232.054395
