LIQUIDITY_PROVIDER,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
0xabc9bcc4db37b61bf3f6e5cef9e0ec06c1dcabcd,71385993825.8112,-41285223789.7061,30100770036.1051,71385980817.6209,-41285161926.7351,30100818890.8858,62213.477936747,-84743.232432022,-22529.754495276
0xe9830e79ca42a81ca98674d5e97b2340e3598553,75970316615.9487,-46619627485.7623,29350689130.1864,75970093341.942,-46619348589.7466,29350744752.1954,271226.735527382,-358656.819940781,-87430.084413399
0x05d84f55a8e68751129df955775d4fb572ba3888,17823160129.1249,-33246.778085276,17823126882.3468,17823139091.824,-17887.522579632,17823121204.3014,32706.094901854,-30524.673160589,2181.421741265
0x8c01b3606761b2aa382afbc7fe4f9b1335fe0860,5642062917.56302,-9096.131559541,5642053821.43146,5642060820.99556,-7176.537072201,5642053644.45849,3715.295038517,-4699.188682,-983.893643483
0x48054eb5b961fe8460b1cd43f71f9b3593b76049,4755881081.03675,-984253.014739624,4754896828.02201,4755426913.19718,-644729.82936203,4754782183.36782,454167.839564051,-339523.185377594,114644.654186458
0x8b932f5e9b62bba7fc468396dd628ae2dd88cf33,3345645472.88659,-499432.64885582,3345146040.23774,3345481735.70772,-307516.176877799,3345174219.53084,163737.178869284,-191916.471978021,-28179.293108736
0x24d6cdecaf542b6fa914aae323079f95cfbb84de,997319978.1262,-679.336150976,997319298.790049,997319005.228732,-574.136473351,997318431.092258,972.897468086,-105.199677625,867.697790462
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,2426745204.77037,-2110038248.72918,316706956.041192,1099254370.68577,-972063426.724205,127190943.961561,1327500760.23637,-1147504720.59456,179996039.641814
0x7267dd1d2de61f484f10082e0446d221310b66f8,192255848.915504,0,192255848.915504,19308126.9219988,0,19308126.9219988,181771820.393171,0,181771820.393171
0x2e0929bd71c21cfc66dce799b132f979ff8db7a0,680131021.005959,-508720937.729306,171410083.276653,392799534.174411,-331513374.294564,61286159.8798469,287331486.831548,-177207563.434742,110123923.396806
0xd11aa2e3a000275ed12b87515c9ac0d67b32e7b9,170261533.454847,-33669060.707351,136592472.747496,77011984.4603012,-17696306.8189738,59315677.6413274,93249548.994546,-15972753.8883771,77276795.1061689
0x9429cd74a3984396f3117d51cde46ea8e0e21487,104390499.092618,-6685762.81377468,97704736.2788438,55264495.0051066,-4427965.68674968,50836529.3183569,49126004.0875119,-2257797.127025,46868206.9604869
0x5a6eade27773eab2e4038ec7cf388781eca02f63,1369983817.6916,-1279094821.26132,90888996.4302809,642644857.997641,-610882388.970679,31762469.0269617,765444645.148821,-700719834.021394,64724811.1274267
0xe2008b01a2ad0a9aeea9f71ecc6a176138553a61,228930642.380701,-140194143.743424,88736498.6372765,84815434.9922468,-63801729.8266726,21013705.1655742,144115207.388454,-76392413.9167514,67722793.4717022
0x99b2c5d50086b02f83e791633c5660fbb8344653,74949963.0478517,-9357639.8342182,65592323.2136335,58123718.1660058,-4567889.01003544,53555829.1559704,16826244.8818459,-4789750.82418276,12036494.0576631
0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77,323598539.554815,-258181721.486036,65416818.0687794,199480851.328594,-176069072.01721,23411779.3113835,125217985.75041,-86853816.7693319,38364168.9810781
0xf933d276125767e9f2cba6b0461a974606c307f4,117140665.322578,-53631175.4182359,63509489.9043424,117140665.322578,-53631175.4182359,63509489.9043424,0,0,0
0x621bcfaa87ba0b7c57ca49e1bb1a8b917c34ed2f,97628879.9837179,-35227481.4273708,62401398.5563471,41721594.9903926,-17166867.3235046,24554727.666888,56126739.4344308,-18280068.5449717,37846670.8894592
0xecaa8f3636270ee917c5b08d6324722c2c4951c7,2355876281.50123,-2296931481.07263,58944800.4286051,1061489260.61181,-972230359.258358,89258901.3534521,1294387020.88942,-1324701121.81427,-30314100.9248462
0x611f97d450042418e7338cbdd19202711563df01,69032146.8409988,-19396469.1693223,49635677.6716766,34437586.3380098,-454.971556782,34437131.366453,34594560.5029891,-19396014.1977655,15198546.3052236
0x677aeba2ada86edf762d132abec0c9df1cbcc4d1,64440156.2659191,-15316327.3728544,49123828.8930647,32331077.8036373,-7735566.56646776,24595511.2371695,32109078.4622818,-7580760.80638664,24528317.6558952
0x24354d31bc9d90f62fe5f2454709c32049cf866b,90666151.547989,-45119261.093874,45546890.454115,7663947.05893273,-222096.008185909,7441851.05074682,83002204.4890563,-44897165.085688,38105039.4033682
0xfb20864791b7dd70542dae2f4907ef0535a68cdc,109175520.842173,-63891080.986835,45284439.8553383,72208155.4981694,-45760619.8296531,26447535.6685163,36967365.3440039,-18130461.157182,18836904.1868219
0x2bb718a3986c36c6e02d8d15cda4370820d08169,1015053477.3151,-970059745.892541,44993731.4225546,335222438.88702,-323176031.981365,12046406.9056548,679831038.428074,-646883713.911175,32947324.5168993
0xdc87397165b4f0f6d586f1bf60fa37494a362a6a,42362007.8496968,0,42362007.8496968,18606499.3923909,0,18606499.3923909,23755508.4573058,0,23755508.4573058
0xdb6e45aefcd10a9761d4721eed2f5ecc685696b0,116369828.209135,-77088056.3029655,39281771.9061697,47617435.2423003,0,47617435.2423003,68752392.9668349,-77088056.3029655,-8335663.33613057
0xff82bf5238637b7e5e345888bab9cd99f5ebe331,28282266317.3052,-28244122979.507,38143337.7982178,13488835172.7552,-13461409263.4584,27425909.2968006,14793431144.55,-14782713716.0486,10717428.5014172
0x3dc5fcb0ad5835c6059112e51a75b57dba668eb8,57949740.6473025,-25417402.0113363,32532338.6359662,28733546.6773826,-12708029.0497524,16025517.6276302,29216193.9699199,-12709372.9615838,16506821.008336
0x6b2e6ac77ec8d45ec53a0ffa8e9209210bb1fd35,31408592.6725437,0,31408592.6725437,15694205.991811,0,15694205.991811,15714386.6807326,0,15714386.6807326
0xbcab0c652bd6cf52a0bc20cc577018c8c813e04e,204315330.488971,-173055849.908972,31259480.5799988,99740717.6813946,-77418982.0071997,22321735.6741948,104574612.807577,-95636867.9017726,8937744.90580395
0x07499c08287a6cd6514cace69100916c67631dc7,42820837.8740321,-11984832.9918007,30836004.8822315,27742974.6712322,-2932308.20905916,24810666.462173,15077863.2028,-9052524.78274152,6025338.42005843
