TIMESPAN,POOLS,LPS
2021-05-03 00:00:00.000,783,7696
2021-05-10 00:00:00.000,502,2448
2021-05-17 00:00:00.000,516,2906
2021-05-24 00:00:00.000,712,4840
2021-05-31 00:00:00.000,837,5163
2021-06-07 00:00:00.000,810,4454
2021-06-14 00:00:00.000,805,4892
2021-06-21 00:00:00.000,758,4695
2021-06-28 00:00:00.000,792,5154
2021-07-05 00:00:00.000,698,4453
2021-07-12 00:00:00.000,617,4687
2021-07-19 00:00:00.000,698,4873
2021-07-26 00:00:00.000,658,4092
2021-08-02 00:00:00.000,599,3530
2021-08-09 00:00:00.000,590,2889
2021-08-16 00:00:00.000,656,3310
2021-08-23 00:00:00.000,531,2184
2021-08-30 00:00:00.000,451,2054
2021-09-06 00:00:00.000,467,2232
2021-09-13 00:00:00.000,571,2522
2021-09-20 00:00:00.000,505,2363
2021-09-27 00:00:00.000,511,2300
2021-10-04 00:00:00.000,420,2285
2021-10-11 00:00:00.000,461,2112
2021-10-18 00:00:00.000,525,2512
2021-10-25 00:00:00.000,429,1495
2021-11-01 00:00:00.000,473,2116
2021-11-08 00:00:00.000,472,2416
2021-11-15 00:00:00.000,505,2417
2021-11-22 00:00:00.000,502,2306
2021-11-29 00:00:00.000,453,2710
2021-12-06 00:00:00.000,494,2480
2021-12-13 00:00:00.000,477,2182
2021-12-20 00:00:00.000,502,3039
2021-12-27 00:00:00.000,477,2438
2022-01-03 00:00:00.000,437,2005
2022-01-10 00:00:00.000,369,1846
2022-01-17 00:00:00.000,421,1814
2022-01-24 00:00:00.000,382,1644
2022-01-31 00:00:00.000,420,1742
2022-02-07 00:00:00.000,422,2003
2022-02-14 00:00:00.000,420,1658
2022-02-21 00:00:00.000,414,1549
2022-02-28 00:00:00.000,441,1785
2022-03-07 00:00:00.000,493,2240
2022-03-14 00:00:00.000,485,3228
2022-03-21 00:00:00.000,460,2845
2022-03-28 00:00:00.000,485,2352
2022-04-04 00:00:00.000,422,1870
2022-04-11 00:00:00.000,437,1832
2022-04-18 00:00:00.000,453,1914
2022-04-25 00:00:00.000,397,1887
2022-05-02 00:00:00.000,416,6212
2022-05-09 00:00:00.000,419,2548
2022-05-16 00:00:00.000,472,2348
2022-05-23 00:00:00.000,378,1913
2022-05-30 00:00:00.000,319,1885
2022-06-06 00:00:00.000,371,2416
2022-06-13 00:00:00.000,417,2150
2022-06-20 00:00:00.000,406,2027
2022-06-27 00:00:00.000,423,2164
2022-07-04 00:00:00.000,490,2199
2022-07-11 00:00:00.000,464,2154
2022-07-18 00:00:00.000,492,2822
2022-07-25 00:00:00.000,526,3153
2022-08-01 00:00:00.000,556,3414
2022-08-08 00:00:00.000,519,3394
2022-08-15 00:00:00.000,585,3196
2022-08-22 00:00:00.000,519,3553
2022-08-29 00:00:00.000,505,2895
2022-09-05 00:00:00.000,503,2583
2022-09-12 00:00:00.000,601,3557
2022-09-19 00:00:00.000,615,3698
2022-09-26 00:00:00.000,572,3071
2022-10-03 00:00:00.000,516,2680
2022-10-10 00:00:00.000,465,2218
2022-10-17 00:00:00.000,517,2270
2022-10-24 00:00:00.000,633,3032
2022-10-31 00:00:00.000,616,2934
2022-11-07 00:00:00.000,592,3250
2022-11-14 00:00:00.000,705,3430
2022-11-21 00:00:00.000,693,3090
2022-11-28 00:00:00.000,655,2849
2022-12-05 00:00:00.000,606,2488
2022-12-12 00:00:00.000,558,2516
2022-12-19 00:00:00.000,559,2287
2022-12-26 00:00:00.000,510,1891
2023-01-02 00:00:00.000,530,1973
2023-01-09 00:00:00.000,568,2501
2023-01-16 00:00:00.000,591,2797
2023-01-23 00:00:00.000,564,2608
2023-01-30 00:00:00.000,633,2575
2023-02-06 00:00:00.000,672,2920
2023-02-13 00:00:00.000,595,4071
2023-02-20 00:00:00.000,609,2726
2023-02-27 00:00:00.000,618,2949
2023-03-06 00:00:00.000,550,2443
2023-03-13 00:00:00.000,666,3198
2023-03-20 00:00:00.000,649,2814
2023-03-27 00:00:00.000,577,2202
2023-04-03 00:00:00.000,594,2470
2023-04-10 00:00:00.000,578,2394
2023-04-17 00:00:00.000,555,2103
2023-04-24 00:00:00.000,539,1902
2023-05-01 00:00:00.000,454,2045
2023-05-08 00:00:00.000,576,2384
2023-05-15 00:00:00.000,648,1993
2023-05-22 00:00:00.000,1002,2251
2023-05-29 00:00:00.000,818,2415
2023-06-05 00:00:00.000,703,2266
2023-06-12 00:00:00.000,684,1998
2023-06-19 00:00:00.000,717,1972
2023-06-26 00:00:00.000,663,1814
2023-07-03 00:00:00.000,608,1859
2023-07-10 00:00:00.000,626,1695
2023-07-17 00:00:00.000,614,1762
2023-07-24 00:00:00.000,603,8858
2023-07-31 00:00:00.000,646,1809
2023-08-07 00:00:00.000,661,1737
2023-08-14 00:00:00.000,620,1771
2023-08-21 00:00:00.000,616,1689
2023-08-28 00:00:00.000,656,1758
2023-09-04 00:00:00.000,682,1764
2023-09-11 00:00:00.000,674,1630
2023-09-18 00:00:00.000,754,1927
2023-09-25 00:00:00.000,449,1037
﻿
